,Company Name,Sector,Region,Startup Year,Domestic Funds in mil USD,Foreign Funds,Revenue 2018,Revenue 2019,Revenue 2020,Revenue 2021,Revenue 2022
73,Cell Propulsion,Electric Vehicles and Technology,Bangalore,2019,2.0,0,2.12,4.0,7.0,14.4,43.2
74,Dukaan®,E-commerce and Retail Solutions,Bangalore,2020,11.0,0,1.62,2.01,5.1,7.41,10.43
75,Play Shifu,Edtech and Augmented Reality,Bangalore,2016,7.0,0,58.0,70.0,88.0,75.0,109.26
76,Lava International Limited,Mobile Phones and Electronics,Noida,2009,0,100.0,73.18,106.0,300.0,3034.0,5524.0
77,LocoNav,Logistics and Fleet Management,Gurugram,2015,37.0,0,2.29,0,0,0,175.0
78,Avataar.Me,Virtual Reality and Healthcare,Bengaluru,2017,7.0,0,36.0,74.0,193.0,142.0,163.0
79,BluSmart Mobility,Electric Mobility and Ride Sharing,New Delhi,2019,4.0,0,0,0,0,0,403.0
80,SleepyCat,Online Mattress Retail and Sleep Solutions,New Delhi,2017,2.5,0,3.5,50.46,300.0,456.0,550.0
81,INDmoney,Wealth Management and Fintech,Gurugram,2018,15.0,0,0,0,7.25,0,483.19
82,Shipsy,Logistics and Supply Chain Technology,Gurugram,2015,6.0,0,0.8,1.0,4.0,26.0,78.0
83,Kissht208,Fintech,Bangalore,2015,4.0,0,13.0,26.0,214.0,513.6,1020.9
84,MedGenome,Genomics and Healthcare,Bangalore,2013,75.0,0,100.0,115.0,184.0,220.0,400.0
85,Fabhotels,Hospitality and Hotel Chain,Gurugram,2014,35.0,0,38.0,50.0,45.0,289.0,550.0
86,Loadshare,Logistics and Supply Chain Solutions,Bangalore,2017,3.0,0,40.0,63.0,97.0,189.2,372.0
87,Gradeup,Edtech and Test Preparation,Noida,2015,40.0,0,12.0,30.0,60.0,60.0,750.0
88,FreeCharge,Fintech and Digital Payments,Gurugram,2010,120.0,0,22.59,54.0,63.0,182.0,287.0
89,Healthkart,Fitness and Supplements,Gurugram,2011,25.0,0,190.0,210.0,335.0,310.0,700.0
90,Saveo,Fintech and Pharmatech,Bangalore,2020,4.2,0,0.43,0.78,1.93,8.05,12.0
91,True Balance,Fintech,Gurugram,2014,42.0,0,5.97,8.35,45.0,63.0,243.91
92,Coverfox Insurance,Insurtech,Mumbai,2013,22.0,0,12.42,9.8,7.5,12.1,13.0
93,EarlySalary,Fintech,Pune,2015,17.0,0,100.0,124.0,101.6,84.2,602.61
94,Pitstop,Auto Services and Maintenance,Bangalore,2015,1.6,0,2.0,22.0,45.0,72.0,155.0
95,Wheels Eye,Healthtech and Eyecare,Bangalore,2016,30.0,0,74.0,56.0,13.81,39.83,156.93
96,Bira 91,Beverages and Craft Beer,New Delhi,2015,30.0,0,160.0,192.0,721.0,431.0,720.0
97,PlanetSpark,Edtech,Gurugram,2016,13.5,0,1.2,2.1,3.0,4.61,30.0
98,LimeRoad,E-commerce and Fashion,Gurugram,2012,30.0,0,160.2,184.0,100.89,179.0,69.13
99,Pratilipi,Content Creation and Publishing,Bangalore,2015,48.0,0,1.5,1.0,0.76,0.19,7.88
100,Freight Tiger,Logistics and Supply Chain Tech,Chennai,2014,8.0,0,34.0,41.0,14.0,19.0,15.12
101,unlu,Celebrity Shoutouts and Fan Engagement,Gurugram,2020,5.0,0,2.0,3.43,5.56,4.2,6.7
102,KIMS Hospitals,Healthcare and Hospitals,Hyderabad,2002,250.0,0,65.0,330.0,500.0,513.3,1168.0
103,InterviewBit,Tech Education and Training,Pune,2015,20.0,0,0.65,0.89,1.54,0.66,0.84
104,Oye Rickshaw,Transportation and E-Rickshaws,Gurugram,2017,3.8,0,5.0,9.0,22.7,0,0
105,Arzooo.com,B2B E-commerce and Retail Tech,Bangalore,2019,6.0,0,45.0,89.0,211.0,258.7,1117.4
106,Amber Group,Cryptocurrency and Finance,Hong Kong,2018,0,100.0,1134.0,1200.58,3962.79,3030.52,4206.4
107,Star Health and Allied Insurance,Insurtech and Healthcare,Chennai,2006,0,205.0,764.0,1000.0,4690.0,4629.0,10610.0
108,Magicbricks,Real Estate and Property Tech,New Delhi,2006,21.0,0,47.5,74.0,89.0,246.48,254.0
109,Unbxd,Artificial Intelligence and E-commerce Tech,Bangalore,2011,12.5,0,12.0,64.0,100.0,670.0,782.0
110,LIDO,Edtech,Bangalore,2019,10.0,0,2.3,4.5,7.8,11.3,158.33
111,Yulu,Shared Micro-Mobility and Transportation,Bangalore,2017,71.0,0,3.0,5.0,4.6,15.9,30.5
112,Cashify,Recommerce and Electronics Trade-In,Gurugram,2013,15.0,0,47.3,120.0,343.5,340.0,498.0
113,Revv,Car Rental and Subscription,Gurugram,2015,15.0,0,12.0,12.56,14.64,36.0,63.0
114,UrbanPiper,Restaurant Tech and Software,Bangalore,2015,7.5,0,0.3,1.34,2.3,4.34,15.0
115,PropTiger,Real Estate and Property Tech,Gurugram,2011,70.0,0,234.0,5.5,78.0,300.0,63.4
116,Miko,Consumer Robotics and AI,Bangalore,2015,7.7,0,3.4,7.27,19.35,27.51,117.0
